status_2022_final,switch_type,count,row_total,row_pct
Died,Died,1012,1012,100
FFS,FFS_stay,2477,2612,94.83154670750383
FFS,MA_to_FFS,135,2612,5.168453292496172
MA,FFS_to_MA,187,1452,12.878787878787879
MA,MA_stay,1093,1452,75.27548209366391
MA,MA_switch,172,1452,11.845730027548209
