status_2021,status_2022_final,switch_type,count,row_total,row_pct
FFS,Died,Died,602,5518,10.90974990938746
FFS,FFS,FFS_stay,4597,5518,83.30916998912649
FFS,MA,FFS_to_MA,319,5518,5.781080101486046
MA,Died,Died,416,3837,10.841803492311701
MA,FFS,MA_to_FFS,152,3837,3.961428199113891
MA,MA_stay,MA_stay,2883,3837,75.13682564503519
MA,MA_switch,MA_switch,386,3837,10.059942663539223
