status_2021,status_2022_final,switch_type,count,row_total,row_pct
FFS,Died,Died,220,2517,8.740564163686928
FFS,FFS,FFS_stay,1832,2517,72.78506158124752
FFS,MA,FFS_to_MA,465,2517,18.474374255065555
MA,Died,Died,210,2312,9.083044982698961
MA,FFS,MA_to_FFS,222,2312,9.602076124567475
MA,MA_stay,MA_stay,1511,2312,65.35467128027682
MA,MA_switch,MA_switch,369,2312,15.960207612456747
